Id,indegree
Ballets Russes,3
Derived Row,4
Rhythm Section,10
Mensural Notation,4
Harmolodics,6
Ditonic Scale,10
Max Friedrich Meyer,2
Thirteenth,107
Jean Cocteau,3
Functional Harmony,6
Morton Feldman,2
Muqam,10
Major Locrian Scale,11
Alexander Scriabin,20
Interval Quality,4
Libretto,7
Killer Queen,2
Greeting Prelude,2
Lyric Suite (Berg),4
Subtonic,102
Slash (Punctuation),2
Eric Salzman,2
Set Theory (Music),14
Darmstadt School,5
Extended Harmony,2
Alessandro Scarlatti,5
Two Sketches For A Sonata,2
Circle Of Fifths,42
La Monte Young,5
Franco-Prussian War,2
Musical Development,2
The Doors,6
Cadenza,7
Expressionist Music,6
Imitation (Music),2
Japanese Musical Scales,10
Minor Key,5
Orpheus (Ballet),2
Double Harmonic Scale,10
The Rite Of Spring,7
Bass Arpeggiation,4
Franz Schubert,23
Istrian Scale,10
Five-Limit Tuning,17
Combinatoriality,5
Serialism,18
Washtub Bass,2
Symphonies Of Wind Instruments,3
Transcription (Music),3
Sergei Prokofiev,9
Joel Mandelbaum,4
Lute,8
Ottó Károlyi,4
Circumflex,2
Canticum Sacrum,3
The Bridge (Sonny Rollins Album),2
Diminished Major Seventh Chord,92
Circle Progression,21
Parallel Fifth,3
C-Sharp Major,8
Igor Stravinsky Discography,2
Karol Berger,2
Ray Manzarek,3
George Secor,11
Seventh Chord,99
Walter Piston,15
The Well-Tempered Clavier,8
Symphony No. 2 (Mahler),3
Ornament (Music),13
Monumentum Pro Gesualdo,2
Light My Fire,4
Richard Taruskin,17
Major Triad,23
G Minor,10
Dissonance (Music),4
Flute,8
Richard Barrett (Composer),3
Basso Continuo,11
Wallace Berry,6
Charles Rosen,10
Raga,12
Phrase (Music Theory),2
Permutation (Music),7
New Standard Tuning,2
Bob Gilmore,3
A Major,11
Tonnetz,9
Mediant,110
Galant Music,8
Erik Satie,4
Bach,6
Symphony No. 1 (Beethoven),4
Bass Guitar,6
58 Equal Temperament,11
Concert Pitch,5
Bar (Music),10
Riff,5
Soul Music,12
Ii–V–I Progression,22
Gaspard De La Nuit,3
Mixolydian Mode,19
Altered Seventh Chord,92
Piano Sonata In F-Sharp Minor (Stravinsky),2
Nocturnes (Debussy),2
Carolyn Abbate,4
Unison (Music),5
Chromatic,13
Heptachord,2
Northern Lights Chord,92
Zvezdoliki,2
Minor Scale,38
Jazz Music,2
Modes Of Limited Transposition,2
Perfect Authentic Cadence,4
Post-Bop,2
Pentad (Music),2
Contrapuntal Motion,2
Elegy For J.F.K.,2
Third Inversion,7
Composer,15
Da Capo,4
Half Diminished Scale,10
Folk Music,10
Richard Wagner,30
Romantic Music,33
Musical Notation,11
Dominant Triad,5
Aristoxenus,5
Michael Finnissy,2
Sheet Music,4
Chaconne,9
John Schneider (Guitarist),4
Ursatz,2
Jelly Roll Morton,2
Vincent D'Indy,10
Bernard Herrmann,2
Augmented Fourth,17
Equivalence Class (Music),5
Swing (Jazz Performance Style),6
Nusach (Jewish Music),10
Sandra Trehub,2
Ben Johnston (Composer),13
Harmonic Analysis,5
Back-Formation,2
Pythagorean Interval,13
Gypsy Scale,11
Tonic (Music),129
Supertonic,107
Darius Milhaud,6
Feu D'Artifice,2
Mannes School Of Music,2
Melody,23
Mode (Music),28
Ear Training,7
A (Musical Note),6
Tritone,49
World War Ii,3
Diatonic Hexachord,3
Chord Names And Symbols (Popular Music),95
Hymn,5
Tempo,11
Oswald Jonas,16
George Frederick Root,2
Organum,4
Tonal Space,3
Leonard B. Meyer,4
Contrabass Trombone,2
Tchaikovsky,6
Arnold Whittall,6
Carillon,5
Threni (Stravinsky),3
Quatre Études (Stravinsky),2
John Eaton (Composer),4
V/V,4
Jerry Coker,9
Cantata,5
Descending Melodic Major,10
Gospel Music,8
Cent (Music),26
Chord-Scale System,97
Dodecagram,2
Wordless Functional Analysis,2
Arthur Victor Berger,2
I–Iv–V–I,6
George Frideric Handel,6
Mother (Opera),2
Alternate Bass,3
Head (Music),7
John Tyrrell (Professor Of Music),4
Tonic Chord,9
Organ (Music),11
Post Tonal,4
String (Music),2
F-Flat Major,7
Vamp (Music),4
Klang (Music),8
György Ligeti,6
Bass Line,5
Romanesca,5
Polyrhythm,13
Impressionist Music,6
New York City,6
Linear Progression,3
Guido Adler,3
New York City Ballet,3
Ravel,5
Karol Szymanowski,6
Distance Model,13
Atonal,5
Jazz Scale,16
Michael Tenzer,4
Temperament Ordinaire,10
Nondominant Seventh Chord,93
Bass (Music),2
Plagal Mode,10
Fyodor Stravinsky,2
Backdoor Progression,15
Rhythm Changes,13
Cross Partition,4
Chord Voicing,4
Piano Sonata No. 23 (Beethoven),4
A Minor,10
Syncopation,7
Benjamin Britten,12
Barre Chord,94
Piano Sonata No. 11 (Beethoven),3
Music Composition,3
Pop Music,27
Mozart,16
Lied Ohne Name,2
Moritz Hauptmann,6
F-Sharp Major,8
Augmented Major Seventh Chord,94
Brahms,4
Symphony In E-Flat (Stravinsky),2
Diatonic Function,104
Musicology,12
Key (Music),58
The New York Times,12
Felix Salzer,4
Heptad (Music),2
Miguel Roig-Francolí,4
Suite (Music),5
One Of These Nights (Eagles Song),2
D-Flat Major,9
Beauty In The Beast,5
Perfect Fourth,41
Combination,2
Mugham,15
Parallel And Counter Parallel,100
Fundamental Frequency,12
Root,2
Tone Row,13
Four-Part Harmony,14
Glossary Of Schenkerian Analysis,3
Millioctave,20
Generalized Keyboard,2
Hexany,10
Elaine Walker (Composer),2
Bob Dylan,11
Jeu De Cartes (Stravinsky),2
Extended Dominant,3
Jean-Jacques Rousseau,8
Gabriel Fauré,9
Septimal Kleisma,15
Subsidiary Chord,92
Elvis Presley,7
Pierre Monteux,2
Section (Music),7
Jean-Jacques Nattiez,8
Comma (Music),17
So What Chord,94
Blue Note,14
String Quartet No. 4 (Bartók),2
Suspended Chord,92
Decachord,2
Modification (Disambiguation),2
Academic Major,2
Dan Haerle,2
Conducting,7
Dynamics (Music),12
Nonchord Tone,14
Perfect Octave,7
Dominant Chord,22
Universal Key,2
Essays In Musical Analysis,2
Medieval Music,11
Relative Key,13
Harry Partch'S 43-Tone Scale,12
6/9 Chord,4
Thomas Mann,3
Atonality,27
Robert Craft,3
"Quatre Études, Op. 7 (Stravinsky)",2
Musical Ensemble,9
George Crumb,4
Mendelssohn,2
Jazz Minor Scale,13
Johnny Smith,2
Isaac Guillory,2
Agon (Ballet),3
833 Cents Scale,10
B-Flat Major,11
Queen (Band),4
Henri Dutilleux,2
Decatonic Scale,10
The Book Of The Hanging Gardens,2
Benjamin Boretz,2
Trumpet,10
Mysterium (Scriabin),2
Perfect Fifth,59
Homophony,8
"Kostka, Stefan",2
Richard Franko Goldman,8
Ostinato,32
Dorian ♭2 Scale,10
Lament Bass,14
Funeral Song (Stravinsky),2
Leonhard Euler,3
Roughness (Psychophysics),2
St Matthew Passion,10
Chinese Musicology,11
Martin Litchfield West,4
Scale-Degree,26
John Cage,2
Major Seventh,34
Bert Weedon,2
The Nightingale (Opera),2
English Cadence,14
Dominant (Music),114
Melodic Inversion,8
Septet (Stravinsky),2
Tonicized Chord,4
The Who,7
Meantone Temperament,24
Regular Tuning,2
Vv (Disambiguation),4
Sus Chord,3
Just Intonation,72
Folía,5
Dominant Seventh,21
Lady Marmalade,2
Open Chord,93
Minor Seventh,32
Standard Tuning,6
Overtone Series,3
Wikisource,9
Minor Chord,105
E-Flat Major,9
Mixed-Interval Chord,93
Punctualism,4
Violin Family,2
Claude Debussy,21
Brass Instrument,9
Song To A Seagull,2
Axis System,3
Bird Changes,9
Interval Class,15
Eleventh Chord,92
Musical Note,24
Trombone,8
Percy Goetschius,10
Diminished Seventh Chord,100
Music Theory Spectrum,10
Stefan Kostka,21
Moodswinger,3
The Rake'S Progress,3
Counterpoint,25
Tonality Diamond,32
53 Equal Temperament,15
Strum,2
Flat (Music),18
Chuck Wayne,2
Mass (Stravinsky),3
Jstor (Identifier),40
Carnatic Raga,10
Enharmonic Spelling,8
Pictures At An Exhibition,3
Robert Erickson,5
Schoenberg Hexachord,4
Piano-Rag-Music,2
"Four Pieces For Piano, Op. 119 (Brahms)",7
A Cappella,7
Piano Sonata No. 5 (Beethoven),2
Every Breath You Take,2
Forte Number,40
Giacomo Carissimi,4
Ezra Sims,2
Enharmonic Scale,15
String Harmonic,2
96 Equal Temperament,11
D Minor,14
Baroque Pop,10
Wendy Carlos,7
Septimal Tritone,14
Michel Corrette,4
Harmonic Seventh,23
Mass In B Minor,6
Preparation (Music),6
Synthesizer,5
Symphony Of Psalms,5
Carl Dahlhaus,17
Tristan Und Isolde,9
Emancipation Of The Dissonance,7
Magic Temperament,10
Chord Quality,6
Art Music,7
Hungarian Minor Scale,10
Boston Microtonal Society,2
The Beatles,30
Carlton Gamer,2
Farben Chord,92
String Orchestra,5
The Rite Of Spring Discography,2
Ragtime,10
Traditional Sub-Saharan African Harmony,2
Johann Kirnberger,5
Dido'S Lament,4
Igor Stravinsky,18
Hypolocrian Mode,10
20Th-Century Classical Music,8
Fourth (Music),2
Donna Summer,2
Ii–V–I Turnaround,6
Drone (Sound),2
Piano Sonata No. 18 (Beethoven),3
Movement (Music),11
Common Practice Harmony,3
Noah Baerman,2
Dika Newlin,3
Time Signature,10
James Brown,3
Notes (Journal),2
Genus (Music),3
Open String (Music),2
Roger Kamien,4
Hypoaeolian Mode,10
String Quartet,8
Purple Haze,3
Submediant,103
Luciano Berio,4
Olivier Messiaen,6
Chord Symbol,4
Pivot Chord,3
Unison,26
Hal David,4
Scott Joplin,8
Arpeggio,100
Regular Temperament,12
Billboard (Magazine),30
Bee Gees,4
Similarity Relation (Music),3
F♯ (Musical Note),2
Classical Music Blog,2
Clarinet,6
Alan Bush,2
Subminor And Supermajor,11
Toccatas For Keyboard (Bach),2
Single (Music),22
"John William Strutt, 3Rd Baron Rayleigh",2
Italian Classical Music,3
Internet Archive,8
Scientific Pitch Notation,4
Fundamental (Music),2
Jazz Rock,3
Identity (Music),4
Giuseppe Tartini,4
Canzona,2
Top Of The Pops,3
Monochord,3
Songwriter,21
Clavier-Übung Iii,2
Light Music,2
Pat Hare,2
Gagaku,4
Transition From Classical To Romantic Music,2
"Prelude And Fugue In C Major, Bwv 870",2
Master Of Music,4
Range (Music),4
Blues Music,2
Power Pop,4
Augmented Octave,3
The Darkness (Band),2
Iannis Xenakis,2
Twelve Little Preludes,2
Slade,2
John Lennon,11
G (Musical Note),3
David Kent (Historian),5
Baroque Trumpet,2
Sitar,2
Pythagorean Minor Seventh,3
Philosophy Of Music,3
Music Of North Macedonia,4
Rock And Roll,12
Musical Instrument Classification,4
Johannes Tinctoris,2
French Suites (Bach),2
The Killers,2
Tritone Paradox,2
Classical Music In Ireland,2
Natural Trumpet,4
Gregorio Allegri,2
Regular Number,2
Kingdom Of Prussia,2
Record Label,26
Oratorio,4
Andreas Werckmeister,2
R.E.M.,3
Johnny Rotten,2
Wind Instrument,5
E-Flat Clarinet,3
The Band,3
Leading-Tone Triad,3
Cymbal,4
Sonata,4
Parachutes (Coldplay Album),2
Classical Music In Kosovo,2
Belle And Sebastian,2
The Velvet Underground,3
Rock Around The Clock,3
Snare Drum,3
Encyclopædia Britannica,4
Surf Rock,2
Tenor Guitar,2
Sgt. Pepper'S Lonely Hearts Club Band,4
Archytas,2
Neume,2
Depeche Mode,2
Oxford English Dictionary,2
Mack The Knife,2
Yes (Band),2
Superparticular Ratio,3
Avant-Garde Music,4
Modular Arithmetic,2
Pythagorean Major Sixth,3
Maximal Evenness,6
24-Tone Equal Temperament,11
Blues Rock,5
Music And Emotion,4
Golden Ratio,2
Color,2
Mc5,2
Minor Mode,4
Bach Motif,2
Don Michael Randel,2
Paul Young,3
Ave Maria (Bach/Gounod),4
Manchester,4
Happy Mondays,2
Inspiral Carpets,2
Blur (Band),2
Midi,3
A♭ (Musical Note),2
F (Musical Note),3
Piano Tuning,2
Doo-Wop,7
Zoomusicology,4
Live Aid,4
John Oates,2
Semiditone,12
Four-Part Writing,2
Pop Rock,13
Orlando Gibbons,2
Jacopo Peri,2
A Clarinet,2
Articulation (Music),2
Cat Stevens,2
Ragisma,11
Journal Of The Acoustical Society Of America,2
Mixolydian,2
Bagpipes,3
Leipzig,10
A-Side And B-Side,23
Maroon 5,2
Scordatura,2
Latin,5
Vivaldi,2
Samba,3
Microtuner,4
Anthony Pople,2
Spiccato,2
Organist,4
Music Recording Sales Certification,5
Node (Physics),2
Gene Pitney,5
Undecimal Minor Sixth,2
Surf Music,3
Linda Ronstadt,4
Tonguing,2
Thuringia,2
Italian Concerto (Bach),2
"Blood, Sweat & Tears",2
Kurdish Music,3
Justly Tuned Major Scale,2
Diaschisma,13
Composition School,4
Gymnasium (School),2
Uk Singles Chart,24
Vincenzo Galilei,5
Repetition (Music),4
Soundtrack,5
John Wilson (Composer),2
B♭ (Musical Note),3
Arabic Language,3
Guqin,3
Alypius Of Alexandria,2
Alan Walker (Musicologist),3
Romanian Rock,2
The Stooges,2
Generic And Specific Intervals,3
W. A. Mathieu,2
Der Freischütz,5
Guido Of Arezzo,2
Clavichord,3
Billboard 200,6
Organology,4
Luca Marenzio,2
Pitch Circularity,4
Middle Ages,3
Naxos Records,5
Blue-Eyed Soul,2
Alphorn,2
Jon Pareles,3
Gioseffo Zarlino,3
Girls Aloud,2
Madrigal,2
A♯ (Musical Note),2
Relative Pitch,3
Giacomo Gorzanis,2
Bloc Party,2
Genesis (Band),2
Stan Kenton,3
Vibrato,4
The Dave Clark Five,6
Septimal Diesis,11
History Of Music Publishing,2
Sex Pistols,3
Joseph Patrick Moore,2
William Forde Thompson,2
Johann Caspar Ferdinand Fischer,2
Vibrating String,2
Oboe,11
Standing Wave,2
Köthen (Anhalt),2
Major Tone,2
Carl Seashore,2
Sensations Of Tone,4
Ditone,11
Klavierbüchlein Für Wilhelm Friedemann Bach,2
Psychology,2
Music Of Germany,5
Alanis Morissette,4
Orgelbüchlein,4
Glissando,2
Atonal Music,3
Instrumental Rock,3
Dixieland,3
Skip (Music),2
The Village Voice,4
Bradford Reed,2
Organ Sonatas (Bach),2
Let It Be (Album),4
Sopranino Saxophone,2
Mersenne'S Laws,3
Classical Music In Australia,2
Arctic Monkeys,2
Johann Philipp Kirnberger,2
Natural Horn,8
Jins,3
Capriccio On The Departure Of A Beloved Brother,2
Chord Letter,4
G♯ (Musical Note),3
Prince (Musician),4
D♯ (Musical Note),2
The Stone Roses,2
Indiana University,2
Midi Tuning Standard,2
Cliché,3
Diminished Second,12
Tonal Memory,3
Ukulele,3
Piano Acoustics,2
Octave Doubling,2
Musical Gesture,2
Legion Of Honour,2
Rolling Stone,14
Distortion (Music),2
Theodore Baker,3
Holdrian Comma,11
Elisabeth Mann Borgese,3
Mathematics Of Musical Scales,2
History Of Classical Music In Porto Alegre,2
Doctrine Of The Affections,2
Johnny Marr,2
Common-Practice Period,36
Minor Seventh Flat Five Chord,2
Greensleeves,2
Hall & Oates,2
Munich,4
Karl Straube,2
Wilhelm Friedemann Bach,4
Stereophonics,2
National Public Radio,2
Tenuto,2
Thomas Tallis,2
Diminished Octave,11
Schisma,12
Bell (Instrument),2
Johann Nikolaus Forkel,4
Music Of Africa,4
Rca Records,6
Ethnomusicology,5
Staff Position,6
Wanda Landowska,2
Schwanengesang,4
Neil Young,5
Covid-19 Pandemic,2
Buzzcocks,2
"Emerson, Lake & Palmer",2
Bisector (Music),3
Adult Contemporary (Chart),8
Inventions And Sinfonias (Bach),2
Voyager Golden Record,2
Billboard Hot 100,30
Alessandro Stradella,2
Euryanthe,4
Imdb (Identifier),11
Missing Fundamental,2
Charles Darwin,2
Breitkopf & Härtel,9
Canadian Classical Music,2
Tone Deafness,3
Prehistoric Music,4
7-Limit,7
Sound Recording And Reproduction,5
Music Of Mexico,4
Reginald Smith Brindle,3
Oscar Paul,2
The Guardian,11
The Cure,3
Boethius,2
Major Limma,11
Turkish Makam Music,3
Twelve-Tone Music,2
Kofi Agawu,2
The Smiths,3
Google Books,4
Live At The Apollo (Hall & Oates Album),2
Black Sabbath,2
"Jesu, Joy Of Man'S Desiring",3
Music Of Costa Rica,4
Aerophone,2
Alexander Wheelock Thayer,4
Septimal Diatonic Semitone,12
The Musical Offering,3
Marin Mersenne,3
Alpha Chord,3
Glastonbury Festival,2
G♭ (Musical Note),2
Arpeggiation,3
Johannes Lippius,2
Brazilian Music,3
Epic Records,6
Hertz,4
Jefferson Airplane,3
Helmholtz Pitch Notation,5
Improvisation,2
Led Zeppelin,5
Rhythm Guitar,3
Lou Reed,3
British Library,3
Choro,3
Linkin Park,2
Martelé (Bowstroke),2
Plainchant,2
Cheap Trick,2
Discogs,8
Ernő Lendvai,2
Magnificat (Bach),5
Drum,3
Step (Music),3
Santo & Johnny (Album),2
Cognitive Musicology,4
Middle C,7
Franz Ferdinand (Band),2
Gospel Of Matthew,3
Early Music,3
Motet,4
Marcato,2
America (Band),3
Herman'S Hermits,6
Music Of Croatia,4
Glockenspiel,3
Don'T Look Back In Anger,4
Mandolin,3
Pythagorean Apotome,11
Cover Version,7
Cara Mia,3
Classical Music Of The United States,2
Major Minor Seventh Chord,3
Aesthetics Of Music,5
Johann Mattheson,3
Arabian Maqam,3
Jan Pieterszoon Sweelinck,2
Septimal Third Tone,12
Kula Shaker,2
Canadian-American Records,2
All-Female Band,4
Classical Music Of The United Kingdom,2
Progressive Music,6
Concert,4
Rock And Roll Hall Of Fame,9
Pixies (Band),3
Guido D'Arezzo,2
Christoph Graupner,4
Pet Shop Boys,2
Music Of Cambodia,4
Barbershop Quartet,4
Septimal Chromatic Semitone,12
Vibraphone,2
Music And Mathematics,5
Cornett,2
Antonio De Cabezón,2
Joel Whitburn,12
Jagged Little Pill,3
Scotty Moore,3
Tellus Audio Cassette Magazine,2
Thomas Campion,2
Bach-Werke-Verzeichnis,5
Johnny Winter,2
Transformation (Music),4
Columbia Records,8
Electric Blues,2
Treatise On Instrumentation,3
Glenn Gould,5
Dizzy Gillespie,2
Music Of Poland,4
Register (Music),2
Librivox,2
Bach-Gesellschaft,5
"Canonic Variations On ""Vom Himmel Hoch Da Komm' Ich Her""",4
"Prelude And Fugue In A Minor, Bwv 543",2
Easy Listening,2
Hindustani Classical Music,2
Empfindsamkeit (Music),2
Diatonic Set Theory,4
Record Producer,24
Pythagorean Major Third,2
Sigmund Spaeth,4
Bill Haley & His Comets,4
Fully Diminished Seventh Chord,1
17-Limit Tuning,3
Frequency Spectrum,2
Homer,4
Partitas For Keyboard (Bach),2
Kaiser Chiefs,2
Bon Jovi,4
Francesco Geminiani,2
Pedal Steel Guitar,4
Luthier,2
Proceedings Of The American Philosophical Society,2
21St-Century Classical Music,2
Breedsma,11
Gramophone (Magazine),6
Music Genre,26
Russian Classical Music,2
Minor-Key,6
Beck,2
Peter Green (Musician),3
Official Charts Company,13
Acoustics,2
Mechanics,2
D♭ (Musical Note),2
Styx (Band),2
Little Richard,5
Natural Number,2
Twentieth Harmonic,2
Music Therapy,4
Philolaus,2
3Rd Bridge,3
Urban Hymns,2
Giovanni Gabrieli,4
Bilaval,2
The Hollies,4
"Toccata And Fugue In D Minor, Bwv 565",2
Legato,2
British Invasion,11
Dates Of Classical Music Eras,2
Middle Eastern Music,7
Stereogum,2
Musical Cents,2
Lorenz Christoph Mizler,4
New-Age Music,2
Unesco,2
Just Chromatic Semitone,2
Soft Rock,4
New Order (Band),2
Persian Traditional Music,4
Kiss (Band),2
Notebook For Anna Magdalena Bach,2
Tromba Marina,2
U2,3
The Shadows,2
Schübler Chorales,5
Ludwig Ritter Von Köchel,2
Culture Club,2
The Big Bopper,2
Dire Straits,2
Women In Music,4
Steel Guitar,3
Marimba,2
History Of The Trumpet,4
Chamber Pop,5
Combination Tone,2
Piano Keyboard,3
Bwv,3
Musician,4
Tomás Luis De Victoria,2
St. Matthew Passion,3
Post-Tonal,5
Wembley Stadium (1923),3
Johann Joseph Fux,2
Minor Tone,2
Classical Guitar,2
Ubuweb,2
Elements Of Music,2
Pablo Casals,3
Georg Andreas Sorge,1
Neue Musik,2
Encyclopædia Britannica Eleventh Edition,4
Sackbut,2
James Tenney,2
Letter Notation,3
The Kinks,5
Alan Freed,2
Diminished Scale,2
Ac/Dc,3
Cor Anglais,3
Girolamo Scotto,2
Cash Box (Magazine),6
C♯ (Musical Note),3
Sociomusicology,4
Coldplay,2
Sébastien Érard,2
24 Preludes And Fugues (Shostakovich),2
Chromatic Fantasia And Fugue,2
Pseudo-Octave,12
Abbey Road,4
Country Rock,2
Knud Jeppesen,2
Blind Octave,2
Spectrogram,2
Cello Suites (Bach),4
Ride (Band),3
Biomusicology,4
Anna Magdalena Bach,2
Louis Armstrong,5
Wet Leg,2
Sal Salvador,3
Sun King (Song),3
Septimal Minor Seventh,2
Goldberg Variations,2
Third Stream,2
"Serenade For Tenor, Horn And Strings",2
"Overture In The French Style, Bwv 831",2
History Of The Violin,4
Album Era,5
Inversions Higher Than Third,2
Concert Band,5
Roll With It (Oasis Song),4
Ry Cooder,2
Carole King,3
Accent (Music),2
Violin Acoustics,3
Michael Praetorius,2
Tangerine Dream,2
Bwv Anh.,4
A440 (Pitch Standard),4
Shruti (Music),3
Santo & Johnny,2
Duration (Music),2
Just Tritone,1
Champagne Supernova,3
Banjo,3
Small Faces,3
Supergrass,2
Karl Geiringer,4
Musical Syntax,2
Diminished Chord,0
Neutral Sixth,11
Kraftwerk,3
Zarlino,2
Đàn Bầu,2
E♭ (Musical Note),2
Human Voice,2
Proceedings Of The Royal Society Of London,3
Carnatic Music,4
"24 Preludes, Op. 28 (Chopin)",2
Uk Albums Chart,2
Rpm (Magazine),16
Hans Von Bülow,8
Journal Of Music Theory Pedagogy,2
David Bowie,6
Albert Schweitzer,4
Charles Gounod,9
Fourier Analysis,2
Music Of Spain,4
Carlo Gesualdo,2
Relative Major,2
Split Sharp,2
The Verve,2
Martha Goldstein,2
Potsdam,2
Classical Music Lists,2
Spin (Magazine),3
Semicomma,11
Allmusic,19
Incomposite Interval,11
Great Eighteen Chorale Preludes,2
Helmut Walcha,2
Leon Stein,2
Music Of Sri Lanka,4
Undecimal Quarter Tone,11
Nirvana (Band),4
Music Of Brazil,4
Generated Collection,4
Fleetwood Mac,5
Elvis Costello,3
The Classical Style,3
Music Of Cyprus,4
Willie Johnson (Guitarist),2
Francisco Tárrega,8
Minor Diatonic Semitone,11
Britpop,2
Septimal Semicomma,13
Psychedelic Music,8
Six Little Preludes (Bach),2
Definition Of Music,2
Traditional Jazz,3
Symphonie Fantastique,4
Jerry Lee Lewis,3
Daryl Hall,2
Let There Be Love (Oasis Song),4
Deep Purple,2
Music Psychology,5
Edward T. Cone,3
The Man Who,2
Neutral Third,11
Alexander J. Ellis,3
Pythagorean Limma,11
Daniel Heartz,2
Joy Division,2
Musical System Of Ancient Greece,2
Siegfried (Opera),5
Twelfth Root Of Two,6
Classical Music Of Birmingham,2
Augmented Seventh,11
Johann Pachelbel,5
Edwin Fischer,2
Voices (Hall & Oates Album),2
Archytas' Comma,2
Band (Rock And Pop),4
Song,13
John Dowland,2
Crying (Roy Orbison Song),6
Disco,2
Broken Chord,2
Travis (Band),2
Berlin State Library,5
Spinet,2
Crook (Music),3
Piano Sonatas (Beethoven),2
Outline Of Classical Music,2
Piano Key Frequencies,4
50S Progression,2
Kent Music Report,9
Long-String Instrument,2
Major Fourth And Minor Fifth,11
Supposition (Music),3
Cardinality Equals Variety,3
Ascending Melodic Minor Scale,2
Psychoacoustics,3
Chromatic Semitone,5
Omnibus Press,3
Emotion (Journal),2
Hip Hop Music,5
Virtual Pitch,3
J. Murray Barbour,2
Wagner Tuba,5
French Classical Music,2
Everytime You Go Away,2
Basse Fondamentale,3
Dave Grohl,2
Kleisma,11
Link Wray,2
Nme,3
Talking Heads,3
Carl Maria Von Weber,10
Elton John,6
T. Rex (Band),3
Cool Britannia,2
Noise In Music,2
Neutral Interval,11
Limp Bizkit,2
The Jam,2
Giovanni Pierluigi Da Palestrina,4
Girolamo Frescobaldi,3
Bayati,3
Motörhead,2
Percussion,2
Aria Variata Alla Maniera Italiana,2
Georg Muffat,2
Aaron Neville,5
Common Chord (Music),90
Voice-Leading,35
Meter (Music),2
Johann Christoph Altnickol,2
Grammy Award,9
Rothenberg Propriety,3
Pere Ubu,2
Little By Little (Oasis Song),2
Utonal,2
Peggy Sue,2
Summer Symphony,2
Beady Eye,2
Music Of Cuba,2
Music Of Sudan,2
Harcourt Brace Jovanovich,2
Nederbeat,2
Jacques Barzun,6
Catch A Wave (Book),2
Electropop,2
Into Something Good: The Mickie Most Years 1964–72,2
Friends (The Beach Boys Song),2
Latinus,2
Hey Bulldog,2
What Was I Made For?,2
Becoming The Beach Boys: The Complete Hite & Dorinda Morgan Sessions,2
Jean-Baptiste-Camille Corot,6
Mickie Most,2
Music Of Jordan,2
Endless Harmony Soundtrack,2
Eneide (Tv Serial),2
Prince Igor,2
Exposition (Music),3
Traditional Pop,4
Chamber Symphony No. 1 (Schoenberg),2
Ascanius,2
Christmas Prayer,2
Coast To Coast (Dave Clark Five Album),3
Ludwig Uhland,6
Wiegenlied (Brahms),2
Bach-Collegium Stuttgart,2
Karoline Von Günderrode,6
Bornholm,2
Gold Star Studios,2
The Wrecking Crew (Music),2
Zachris Topelius,7
Real Love (Beatles Song),2
Pierre Révoil,6
Choral Public Domain Library,8
José Serebrier,2
Lyrics,3
Mattan I,2
Stand By Me (Ben E. King Song),3
"Coltrane ""Live"" At The Village Vanguard",2
Alphonse De Lamartine,6
Sun Records,2
Tony Mccarroll,2
Their Satanic Majesties Request,2
Endless Harmony: The Beach Boys Story,2
My Sentimental Friend,2
Brahms Museum (Hamburg),2
Hecate,2
Vincenzo Bellini,6
Your Mama Don'T Dance,2
There'S No Other (Like My Baby),2
Contralto,4
Music Of Afghanistan,2
Slide Away (Oasis Song),2
Here Comes Summer,3
Music Of Estonia,2
Verse–Chorus Form,4
Porpoise Song,2
Girl (Beatles Song),2
D. H. Lawrence,2
Edward Purcell (Musician),2
Counterculture,2
Rca Studio B,3
Wake The World,2
The Beach Boys: It'S Ok!,2
Adelbert Von Chamisso,2
Re-Focus (Album),2
Symphony No. 2 (Brahms),2
Melody Maker,2
Jimi Hendrix Experience,2
Patsy Cline,2
"Sonatensatz, D 28 (Schubert)",2
Rain Dance (Song),2
Dido & Aeneas,2
Christmas Party (The Monkees Album),2
The Letter (Box Tops Song),2
Tio I Topp,2
Cry Softly Lonely One,2
Cydon,2
"Dido, Queen Of Carthage (Play)",2
Dancing In The Street,3
Brother Records,2
Chubby Checker,2
The Mike Douglas Show,2
Folk Rock,2
"Richard Wagner Museum, Lucerne",4
Music Of The Netherlands,2
Ottoman Music,2
Moon Mullican,3
Halaesus,2
Coleridge'S Theory Of Life,6
Summer 1967: The Complete U.S. Concert Recordings,2
Masque,2
Lost & Found (1961–62),2
Holztrompete,4
Antonio Soler,2
Bach Collegium Japan,3
Brahms-Institut,2
Music Of Dominica,2
I Get Around,2
Johnny Mercer,2
Marvin Gaye,4
Vaughn Monroe,2
Amy Winehouse,2
Mihai Eminescu,6
Mark Hatchard,2
It'S Ok (The Beach Boys Song),2
Amelia (Novel),2
Düsseldorf School Of Painting,6
William Kinderman,2
Musical Technique,2
I Feel Fine,2
Grateful Dead,2
Martha And The Vandellas Discography,2
Cello Sonata No. 2 (Brahms),2
Music Of Ecuador,2
Little Deuce Coupe (Song),2
Luigi Denza,6
Music Of Latvia,2
Antonín Dvořák,7
The Monkees Anthology,2
Mystery Girl,2
Joan Hammond,2
Neue Liebeslieder,2
Tobias Barreto,6
Woodstock Festival,2
Tell It Like It Is (Song),3
Binary Form,2
St John Passion,2
Aposiopesis,2
Carmen Lombardo,3
Parsifal (1982 Film),4
